"loc"	"raw_name"	"x_pos"	"y_pos"
"loc_110"	"16.893x14.966"	"16.893"	"14.966"
"loc_111"	"17.929x14.951"	"17.929"	"14.951"
"loc_112"	"13.941x14.978"	"13.941"	"14.978"
"loc_113"	"26.999x14.966"	"26.999"	"14.966"
"loc_114"	"15.947x14.985"	"15.947"	"14.985"
"loc_115"	"27.865x14.971"	"27.865"	"14.971"
"loc_116"	"10.821x15.855"	"10.821"	"15.855"
"loc_117"	"21.908x15.857"	"21.908"	"15.857"
"loc_118"	"23.065x15.944"	"23.065"	"15.944"
"loc_119"	"27.004x15.931"	"27.004"	"15.931"
"loc_120"	"28.956x15.926"	"28.956"	"15.926"
"loc_121"	"24.043x15.936"	"24.043"	"15.936"
"loc_122"	"27.94x15.929"	"27.94"	"15.929"
"loc_123"	"20.869x15.941"	"20.869"	"15.941"
"loc_124"	"9.81x15.939"	"9.81"	"15.939"
"loc_125"	"25.018x15.941"	"25.018"	"15.941"
"loc_126"	"19.985x15.957"	"19.985"	"15.957"
"loc_127"	"18.929x15.97"	"18.929"	"15.97"
"loc_128"	"13.866x15.962"	"13.866"	"15.962"
"loc_129"	"11.987x15.985"	"11.987"	"15.985"
"loc_130"	"13.068x15.967"	"13.068"	"15.967"
"loc_131"	"14.979x15.978"	"14.979"	"15.978"
"loc_132"	"15.909x15.981"	"15.909"	"15.981"
"loc_133"	"16.925x16.002"	"16.925"	"16.002"
"loc_134"	"25.934x16.023"	"25.934"	"16.023"
"loc_135"	"17.846x16.113"	"17.846"	"16.113"
"loc_136"	"10.825x16.832"	"10.825"	"16.832"
"loc_137"	"21.849x16.849"	"21.849"	"16.849"
"loc_138"	"9.852x16.928"	"9.852"	"16.928"
"loc_139"	"14.912x16.965"	"14.912"	"16.965"
"loc_140"	"23.082x16.936"	"23.082"	"16.936"
"loc_141"	"20.946x16.93"	"20.946"	"16.93"
"loc_142"	"27.986x16.946"	"27.986"	"16.946"
"loc_143"	"18.982x16.954"	"18.982"	"16.954"
"loc_144"	"8.932x16.965"	"8.932"	"16.965"
"loc_145"	"12.022x16.995"	"12.022"	"16.995"
"loc_146"	"26.945x16.965"	"26.945"	"16.965"
"loc_147"	"28.908x16.97"	"28.908"	"16.97"
"loc_148"	"17.887x16.976"	"17.887"	"16.976"
"loc_149"	"15.924x16.989"	"15.924"	"16.989"
"loc_150"	"25.969x16.987"	"25.969"	"16.987"
"loc_151"	"16.909x16.994"	"16.909"	"16.994"
"loc_152"	"19.898x16.997"	"19.898"	"16.997"
"loc_153"	"24.05x17.0"	"24.05"	"17.0"
"loc_154"	"12.996x17.01"	"12.996"	"17.01"
"loc_155"	"24.967x17.011"	"24.967"	"17.011"
"loc_156"	"21.815x17.836"	"21.815"	"17.836"
"loc_157"	"20.945x17.896"	"20.945"	"17.896"
"loc_158"	"7.924x17.928"	"7.924"	"17.928"
"loc_159"	"9.861x17.931"	"9.861"	"17.931"
"loc_160"	"26.974x17.926"	"26.974"	"17.926"
"loc_161"	"27.959x17.923"	"27.959"	"17.923"
"loc_162"	"19.947x17.924"	"19.947"	"17.924"
"loc_163"	"12.029x17.967"	"12.029"	"17.967"
"loc_164"	"18.92x17.932"	"18.92"	"17.932"
"loc_165"	"23.031x17.956"	"23.031"	"17.956"
"loc_166"	"24.042x17.945"	"24.042"	"17.945"
"loc_167"	"16.908x17.951"	"16.908"	"17.951"
"loc_168"	"17.895x17.949"	"17.895"	"17.949"
"loc_169"	"8.948x17.955"	"8.948"	"17.955"
"loc_170"	"15.934x17.959"	"15.934"	"17.959"
"loc_171"	"12.999x17.964"	"12.999"	"17.964"
"loc_172"	"13.95x17.967"	"13.95"	"17.967"
"loc_173"	"25.943x17.973"	"25.943"	"17.973"
"loc_174"	"24.993x17.972"	"24.993"	"17.972"
"loc_175"	"14.936x17.987"	"14.936"	"17.987"
"loc_176"	"21.841x18.845"	"21.841"	"18.845"
"loc_177"	"13.049x18.94"	"13.049"	"18.94"
"loc_178"	"20.947x18.93"	"20.947"	"18.93"
"loc_179"	"24.067x18.934"	"24.067"	"18.934"
"loc_180"	"20.002x18.943"	"20.002"	"18.943"
"loc_181"	"23.052x18.956"	"23.052"	"18.956"
"loc_182"	"27.94x18.942"	"27.94"	"18.942"
"loc_183"	"11.999x18.982"	"11.999"	"18.982"
"loc_184"	"17.864x18.951"	"17.864"	"18.951"
"loc_185"	"26.968x18.952"	"26.968"	"18.952"
"loc_186"	"16.921x18.963"	"16.921"	"18.963"
"loc_187"	"24.977x18.95"	"24.977"	"18.95"
"loc_188"	"25.948x18.959"	"25.948"	"18.959"
"loc_189"	"18.887x18.959"	"18.887"	"18.959"
"loc_190"	"13.909x18.965"	"13.909"	"18.965"
"loc_191"	"15.948x18.987"	"15.948"	"18.987"
"loc_192"	"14.926x18.999"	"14.926"	"18.999"
"loc_193"	"21.886x19.83"	"21.886"	"19.83"
"loc_194"	"23.058x19.956"	"23.058"	"19.956"
"loc_195"	"18.964x19.945"	"18.964"	"19.945"
"loc_196"	"26.946x19.955"	"26.946"	"19.955"
"loc_197"	"13.944x19.962"	"13.944"	"19.962"
"loc_198"	"17.855x19.956"	"17.855"	"19.956"
"loc_199"	"24.065x19.964"	"24.065"	"19.964"
"loc_200"	"25.957x19.97"	"25.957"	"19.97"
"loc_201"	"20.913x20.004"	"20.913"	"20.004"
"loc_202"	"12.951x20.01"	"12.951"	"20.01"
"loc_203"	"19.98x20.008"	"19.98"	"20.008"
"loc_204"	"14.988x20.004"	"14.988"	"20.004"
"loc_205"	"15.896x20.044"	"15.896"	"20.044"
"loc_206"	"25.02x20.153"	"25.02"	"20.153"
"loc_207"	"23.077x20.97"	"23.077"	"20.97"
"loc_208"	"20.116x20.962"	"20.116"	"20.962"
"loc_209"	"17.867x20.954"	"17.867"	"20.954"
"loc_210"	"18.946x20.962"	"18.946"	"20.962"
"loc_211"	"26.997x20.955"	"26.997"	"20.955"
"loc_212"	"15.989x20.983"	"15.989"	"20.983"
"loc_213"	"24.046x20.982"	"24.046"	"20.982"
"loc_214"	"25.964x20.984"	"25.964"	"20.984"
"loc_215"	"13.905x21.008"	"13.905"	"21.008"
"loc_216"	"14.877x21.028"	"14.877"	"21.028"
"loc_217"	"24.985x21.028"	"24.985"	"21.028"
"loc_218"	"20.964x21.73"	"20.964"	"21.73"
"loc_219"	"21.88x21.822"	"21.88"	"21.822"
"loc_220"	"20.018x21.924"	"20.018"	"21.924"
"loc_221"	"17.893x21.953"	"17.893"	"21.953"
"loc_222"	"18.957x21.952"	"18.957"	"21.952"
"loc_223"	"24.12x21.952"	"24.12"	"21.952"
"loc_224"	"16.919x21.976"	"16.919"	"21.976"
"loc_225"	"23.026x21.989"	"23.026"	"21.989"
"loc_226"	"24.951x21.959"	"24.951"	"21.959"
"loc_227"	"15.97x21.986"	"15.97"	"21.986"
"loc_228"	"14.981x22.004"	"14.981"	"22.004"
"loc_229"	"25.921x21.976"	"25.921"	"21.976"
"loc_230"	"13.918x22.022"	"13.918"	"22.022"
"loc_231"	"21.874x22.847"	"21.874"	"22.847"
"loc_232"	"20.985x22.91"	"20.985"	"22.91"
"loc_233"	"17.898x22.932"	"17.898"	"22.932"
"loc_234"	"18.963x22.952"	"18.963"	"22.952"
"loc_235"	"19.952x22.955"	"19.952"	"22.955"
"loc_236"	"23.099x22.977"	"23.099"	"22.977"
"loc_237"	"15.984x22.97"	"15.984"	"22.97"
"loc_238"	"16.933x22.967"	"16.933"	"22.967"
"loc_239"	"26.021x22.977"	"26.021"	"22.977"
"loc_240"	"24.088x22.99"	"24.088"	"22.99"
"loc_241"	"24.957x23.019"	"24.957"	"23.019"
"loc_242"	"21.894x23.851"	"21.894"	"23.851"
"loc_243"	"18.937x23.952"	"18.937"	"23.952"
"loc_244"	"20.925x23.924"	"20.925"	"23.924"
"loc_245"	"20.019x23.934"	"20.019"	"23.934"
"loc_246"	"24.055x23.946"	"24.055"	"23.946"
"loc_247"	"23.094x23.975"	"23.094"	"23.975"
"loc_248"	"24.981x23.964"	"24.981"	"23.964"
"loc_249"	"21.874x24.852"	"21.874"	"24.852"
"loc_250"	"23.096x24.93"	"23.096"	"24.93"
"loc_251"	"24.076x25.951"	"24.076"	"25.951"
