"loc"	"raw_name"	"x_pos"	"y_pos"
"loc_197"	"9.04x12.046"	"9.04"	"12.046"
"loc_198"	"9.006x20.114"	"9.006"	"20.114"
"loc_199"	"14.063x22.058"	"14.063"	"22.058"
"loc_200"	"13.084x22.085"	"13.084"	"22.085"
"loc_201"	"16.047x22.132"	"16.047"	"22.132"
"loc_202"	"15.028x22.055"	"15.028"	"22.055"
"loc_203"	"12.091x22.103"	"12.091"	"22.103"
"loc_204"	"10.908x22.093"	"10.908"	"22.093"
"loc_205"	"12.104x23.073"	"12.104"	"23.073"
"loc_206"	"15.037x23.003"	"15.037"	"23.003"
"loc_207"	"13.018x23.006"	"13.018"	"23.006"
"loc_208"	"14.06x23.002"	"14.06"	"23.002"
"loc_209"	"25.082x21.054"	"25.082"	"21.054"
"loc_210"	"26.076x21.03"	"26.076"	"21.03"
"loc_211"	"27.078x21.025"	"27.078"	"21.025"
"loc_212"	"21.016x21.023"	"21.016"	"21.023"
"loc_213"	"21.949x21.039"	"21.949"	"21.039"
"loc_214"	"23.16x21.089"	"23.16"	"21.089"
"loc_215"	"24.13x21.069"	"24.13"	"21.069"
"loc_216"	"17.988x21.061"	"17.988"	"21.061"
"loc_217"	"19.011x21.044"	"19.011"	"21.044"
"loc_218"	"20.069x21.094"	"20.069"	"21.094"
"loc_219"	"23.077x11.112"	"23.077"	"11.112"
"loc_220"	"24.087x11.075"	"24.087"	"11.075"
"loc_221"	"21.926x11.038"	"21.926"	"11.038"
"loc_222"	"20.93x11.007"	"20.93"	"11.007"
"loc_223"	"20.063x11.042"	"20.063"	"11.042"
"loc_224"	"18.93x11.054"	"18.93"	"11.054"
"loc_225"	"17.984x11.083"	"17.984"	"11.083"
"loc_226"	"25.03x11.1"	"25.03"	"11.1"
"loc_227"	"26.991x13.041"	"26.991"	"13.041"
"loc_228"	"27.997x14.034"	"27.997"	"14.034"
"loc_229"	"27.034x15.057"	"27.034"	"15.057"
"loc_230"	"27.966x15.165"	"27.966"	"15.165"
"loc_231"	"27.06x14.035"	"27.06"	"14.035"
"loc_232"	"27.011x17.187"	"27.011"	"17.187"
"loc_233"	"28.04x17.062"	"28.04"	"17.062"
"loc_234"	"27.018x16.042"	"27.018"	"16.042"
"loc_235"	"28.004x16.037"	"28.004"	"16.037"
"loc_236"	"28.016x19.075"	"28.016"	"19.075"
"loc_237"	"27.041x19.066"	"27.041"	"19.066"
"loc_238"	"26.99x18.059"	"26.99"	"18.059"
"loc_239"	"28.047x18.055"	"28.047"	"18.055"
"loc_240"	"26.108x22.063"	"26.108"	"22.063"
"loc_241"	"25.084x22.07"	"25.084"	"22.07"
"loc_242"	"26.147x22.981"	"26.147"	"22.981"
"loc_243"	"25.146x22.992"	"25.146"	"22.992"
"loc_244"	"21.931x22.121"	"21.931"	"22.121"
"loc_245"	"21.074x22.101"	"21.074"	"22.101"
"loc_246"	"23.144x22.097"	"23.144"	"22.097"
"loc_247"	"24.114x22.074"	"24.114"	"22.074"
"loc_248"	"19.032x22.087"	"19.032"	"22.087"
"loc_249"	"20.043x22.146"	"20.043"	"22.146"
"loc_250"	"20.038x22.966"	"20.038"	"22.966"
"loc_251"	"19.031x22.942"	"19.031"	"22.942"
"loc_252"	"24.099x23.018"	"24.099"	"23.018"
"loc_253"	"23.137x23.03"	"23.137"	"23.03"
"loc_254"	"21.027x22.938"	"21.027"	"22.938"
"loc_255"	"21.978x23.005"	"21.978"	"23.005"
"loc_256"	"20.089x24.006"	"20.089"	"24.006"
"loc_257"	"24.146x24.011"	"24.146"	"24.011"
"loc_258"	"23.124x24.046"	"23.124"	"24.046"
"loc_259"	"21.01x23.944"	"21.01"	"23.944"
"loc_260"	"22.053x23.962"	"22.053"	"23.962"
"loc_261"	"27.018x20.088"	"27.018"	"20.088"
"loc_262"	"17.964x10.137"	"17.964"	"10.137"
