"x"	"y"
"loc_213"	23.14	21.977
"loc_214"	17.922	21.966
"loc_215"	24.13	21.961
"loc_216"	16.948	21.972
"loc_217"	20.997	21.978
"loc_218"	16.023	21.985
"loc_219"	20.023	21.994
"loc_220"	19.055	21.996
"loc_221"	14.914	22.014
"loc_222"	14.015	22.018
"loc_223"	12.136	22.047
"loc_224"	12.993	22.024
"loc_225"	10.852	22.836
"loc_226"	21.935	22.865
"loc_227"	13.988	22.927
"loc_228"	16.939	22.916
"loc_229"	17.983	22.922
"loc_230"	12.073	22.963
"loc_231"	20.986	22.935
"loc_232"	13.035	22.945
"loc_233"	20.028	22.962
"loc_234"	15.997	22.955
"loc_235"	15.001	22.972
"loc_236"	18.984	23
"loc_237"	24.106	23.025
"loc_238"	23.199	23.049
"loc_239"	18.986	23.916
"loc_240"	21.955	23.827
"loc_241"	13.931	23.897
"loc_242"	16.98	23.889
"loc_243"	17.994	23.903
"loc_244"	13.048	23.91
"loc_245"	20.137	23.921
"loc_246"	15.951	23.917
"loc_247"	15.053	23.923
"loc_248"	20.949	23.957
"loc_249"	23.158	24.002
"loc_250"	21.953	24.847
"loc_251"	20.98	24.963
"loc_252"	20.063	24.964
"loc_253"	19.007	25.045
"loc_254"	21.957	25.871
